plant,species,ontogeny,total,heteroblasty,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
Psub4,suberosa,3,12,10,-62.63517749,202.0375989,-58.66920197,192.2949166,-51.18628151,174.5072054,-30.35382515,177.3461962,-25.02035667,192.326646,-29.84384734,202.4836051,-431.1073208,47.94680671,-511.7197936,24.7014774,-897.7995744,-24.84750985,-175.8166182,5.417561085,-32.74440218,-1369.275234,101.4974971,34.74581939,994.7054535,2.596868531,649.8216663,55.8338535,560.8717823,81.88418892
Psub4,suberosa,4,12,9,-11.9761684,188.3800575,-25.43063843,174.1613472,-15.25320844,161.9520232,9.541991396,156.9663582,20.121112,174.0626778,15.30694731,185.7246941,-287.5904373,168.2168027,-389.7442272,142.6109981,-1159.894338,-120.5571231,-150.0943606,-36.12991822,89.75220121,-1323.509959,164.9719714,-11.08709918,1112.611777,-210.2044917,346.4802017,160.0003265,281.197177,189.4133059
Psub4,suberosa,5,12,8,0.672955389,201.216731,-4.456689322,192.0666184,0.308608426,174.0680903,20.09445935,170.8752723,26.63497794,188.4306675,26.85519971,198.9182467,-349.0423512,138.7150142,-445.6489176,93.83727049,-1073.084869,-281.5077376,-130.1804457,4.818298921,-118.8893636,-1279.787938,160.644645,1.180207952,1193.593355,-141.7875308,387.7590908,147.6223489,304.7393444,191.3344398
Psub4,suberosa,6,12,7,30.46941129,150.8340369,26.58511193,139.2615481,36.27537669,121.8422747,54.05685242,124.3547625,56.54614575,139.0335183,50.86090109,148.9207763,-502.7333511,80.16754217,-576.2076038,57.616664,-1097.849601,-49.03700367,-87.00713712,-7.803131162,-32.62376359,-1127.693667,151.8816455,5.441289825,1180.190109,-105.2214966,388.7489037,146.1681672,320.8069993,176.1147181
Psub4,suberosa,7,12,6,-13.06731521,152.2792639,-24.05509523,143.9437598,-10.60056083,131.0797991,6.304240413,128.4566271,14.04553555,143.4852586,11.13478056,152.8953063,-300.800674,192.3359844,-371.7554888,176.8586449,-1180.619441,-88.31616626,-126.8196458,-52.00392393,87.43960156,-1246.76038,159.0005852,-49.99973561,1150.831955,-187.1413035,330.6794577,192.9023856,268.2820648,209.9844793
Psub4,suberosa,8,12,5,-14.70620588,129.1310876,-19.21267856,122.9934503,-11.50277123,113.62929,4.042422991,112.5689729,30.46514382,120.1482116,26.75457125,125.5931754,-261.2746283,128.9059735,-307.7335136,114.7262872,-1260.541698,-1.88467846,-141.4831181,-59.02897514,104.7956272,-1092.758348,137.939766,-39.73680524,1149.677699,-56.85293995,319.8624741,132.0794492,242.91691,150.4858493
Psub4,suberosa,9,12,4,-20.49844525,165.4786593,-31.61871823,157.0733866,-17.79125635,144.1202907,-0.814072678,137.3008733,13.41320422,153.1805437,6.433988344,161.6651088,-320.6341488,161.722677,-395.3641064,141.1897053,-1250.762899,-263.7042076,-182.9297484,-84.11312696,-22.75868016,-926.3808768,181.8129876,-78.25019681,1278.497494,-135.9808758,422.7692254,116.5987484,340.2451749,150.0992907
Psub4,suberosa,10,12,3,-42.27581695,103.8600099,-57.89334487,84.05888851,-31.06363976,82.08396907,-0.384776861,83.67049975,8.109959251,111.1727158,-1.465373817,127.318179,-375.0017685,-6.091141659,-439.6807168,-23.05144144,-1191.159291,120.3827048,-132.3210642,-135.2430124,48.12375771,-504.1193626,164.6520584,-85.5944567,1244.975219,-147.2230719,433.0460076,87.63689659,372.3387912,101.1386232
Psub4,suberosa,11,12,2,-25.63957021,306.3319396,-32.13601199,292.0300225,-13.18673842,268.6323299,16.98103494,240.6299573,26.40619335,284.1671307,24.69441155,303.1858643,-453.9851735,225.5971964,-510.8068984,173.7668949,-1208.366542,-512.0534131,-393.5285349,-305.4423308,111.5973436,-1005.213636,325.4085076,-314.8164331,932.3572094,-350.9593365,646.4108051,167.161008,553.7939635,226.9828062
Psub4,suberosa,12,12,1,-121.6403527,364.8970924,-114.4107711,337.4839049,-105.2958923,291.1281024,-60.27616096,302.3606243,-36.19524158,331.7647356,-50.33752489,349.4874524,-320.3530395,341.3680821,-416.6501531,283.7715097,-547.9542456,-296.4524836,-540.8988418,-457.7947742,79.1861043,-1441.867617,451.3569756,-447.562322,812.3310473,-516.6653294,527.1481666,238.1663871,443.9899297,319.9146349
Psub5,suberosa,1,13,13,-10.59220886,309.5314444,-22.1875589,286.3975683,-2.974341162,269.9884735,34.12130791,261.849226,49.62773544,278.2249813,46.9052394,303.7126731,-249.1622985,163.3704289,-303.5930569,126.3177004,-907.0783539,-538.4567485,-87.32595417,69.19386803,-14.45565624,-1518.06446,138.0862875,65.01644327,837.5287937,-448.0847645,268.7646604,163.7749227,222.3354041,207.2282433
Psub5,suberosa,2,13,12,-22.54994815,258.0394812,-25.69735653,249.8245395,-26.51478484,231.1445514,-1.881370745,223.9798169,9.423925597,240.4348038,8.009506104,249.9934183,-324.4986435,156.3145447,-398.1113354,120.4159819,-1024.097127,-402.0012631,-143.3956562,12.36986478,-62.76764804,-1351.932866,127.2158841,4.615496521,1139.845822,-274.5489814,403.5699618,123.5215622,341.4487712,157.8290493
Psub5,suberosa,3,13,11,-27.49216384,241.9089456,-34.31453701,235.7371779,-24.70711601,222.4273461,-8.634081673,221.1007948,6.032884702,234.8145721,-1.15848165,239.2409882,-279.3932012,208.7839649,-351.1146267,177.8290071,-1091.70999,-347.8657527,-129.7720833,-6.235259191,62.53864779,-1406.196153,146.5012081,-10.99970265,1052.606869,-298.6213695,362.2426899,123.579339,318.3739816,164.4961019
Psub5,suberosa,4,13,10,-22.67022275,233.6898636,-21.68930656,226.2701963,-16.94887289,213.5665905,3.098744471,211.1156636,5.211349558,228.0583122,4.0778638,234.573209,-334.207348,159.9251445,-402.650436,131.289134,-1049.027668,-313.2692646,-148.2157269,-27.68377899,-54.2140371,-1396.175086,158.6397369,-21.39411644,1118.570475,-232.3709769,418.4196514,155.7755798,341.6057975,196.6295298
Psub5,suberosa,10,13,4,-6.363085945,95.83944337,-12.96343995,87.91506434,-7.027983164,73.47272228,6.319874718,69.16926812,19.27736402,82.74271263,14.11473595,93.65047502,-300.1041197,135.8686915,-372.3413705,127.4812765,-1233.201518,-197.0349597,-194.0739905,-142.4175832,16.36152625,-369.7287966,177.6886468,-152.2399374,1297.527186,-182.1934374,330.1419151,132.9355455,264.6442597,144.539515
Psub5,suberosa,11,13,3,-20.28596977,148.0478274,-30.01571172,136.7724251,-13.40540952,114.0427895,11.12943033,116.620824,30.13471233,126.9690947,16.68641847,140.8528626,-464.3310184,177.3773605,-545.4275024,155.9570479,-1231.806373,-181.5865418,-306.7496891,-278.8617746,33.31178281,-616.2075025,252.6376975,-257.7880305,1227.966819,-130.0020395,561.2009203,153.1701545,478.9538936,194.6355027
Psub5,suberosa,12,13,2,-32.30993436,298.6673106,-46.32032923,281.71109,-19.86668499,270.25925,11.27026909,263.6627829,23.91537114,290.1361622,9.410149912,300.6117046,-553.0012547,229.0266633,-642.4354762,160.604798,-1055.483067,-486.3066881,-316.3320913,-325.0382834,-4.321896725,-955.2899999,344.4508085,-316.6978518,1035.472195,-397.2885819,655.5794568,160.1573454,589.9724843,225.7842981
Psub5,suberosa,13,13,1,-47.93104377,247.1907359,-54.42838043,223.6355357,-24.3034295,242.2302482,11.43327891,232.8473904,63.62464644,229.6192329,56.66652088,245.3427723,-603.7064244,67.08700304,-724.7751061,-51.9072107,-977.6004565,-418.7093042,-215.3830528,-219.0817159,-4.923817974,-261.3275671,196.2704965,-206.1489174,1032.413524,-397.9564026,699.9920334,-3.578326329,592.651211,70.75652571
Psub5,suberosa,5,13,9,-16.00133365,211.3435722,-21.03440169,201.1614799,-19.29550091,181.1257641,5.052635618,176.4868587,15.31585301,189.7680213,7.805821364,204.9174878,-272.1532176,182.3600559,-353.0167279,158.8445543,-1151.316966,-192.9832449,-180.1605652,-66.72225297,43.19481734,-1342.936347,168.2706639,-106.0561709,1140.615506,-149.8862501,348.5802,164.7798133,284.1432163,187.7966588
Psub5,suberosa,6,13,8,-29.34715366,201.8245093,-39.89115041,187.7810718,-28.92805115,167.2488608,-6.463238576,166.1146283,4.672162366,185.1192472,-4.172694899,199.2620647,-267.4753649,212.7088359,-348.7839613,189.410198,-1107.04032,-246.9642011,-223.050911,-86.82103176,-19.9581285,-1327.406678,170.2137319,-82.53217423,1184.323064,-126.6303777,401.0129755,171.6481646,314.889041,189.2368828
Psub5,suberosa,7,13,7,-24.28414049,165.8837109,-32.45811139,158.0200215,-25.9124493,136.0316813,-4.700476326,133.5835732,8.148650312,147.9565877,3.083444046,160.3566136,-414.7062312,176.4269307,-495.2322328,163.2232669,-1191.357485,-223.3855603,-237.9801523,-137.3497952,-38.1142061,-1013.352061,223.4688893,-124.9456509,1230.431883,-118.6029122,543.3999749,173.1049144,456.2126432,203.0486798
Psub5,suberosa,8,13,6,-13.73698939,165.0113041,-27.11793622,156.5948813,-15.08212898,138.2272183,4.896106167,135.1403739,13.80664282,153.1789356,7.21373452,164.9903941,-410.4519345,212.2225918,-482.966509,185.632376,-1236.24233,-282.2534403,-219.3267539,-154.0372443,12.87260213,-906.383001,246.5887414,-150.2657212,1239.829858,-293.4270334,496.5593016,228.4744583,383.1575954,246.8939068
Psub5,suberosa,9,13,5,-12.57959439,100.7222803,-21.62678103,90.7811851,0.036749418,90.25529336,13.40769128,94.13042049,25.52358607,102.1003836,20.91595597,107.6314624,-329.6776809,150.5540715,-380.2907798,124.9578905,-1241.81856,-4.103364418,-206.7133197,-158.4779385,13.36445641,-836.8799525,231.0925702,-205.6851915,1280.721608,-12.90877598,326.9901004,178.5083586,280.6539987,178.4138772
Psub6,suberosa,1,11,11,-28.69572733,267.5708044,-37.77230665,251.4454718,-21.40488488,233.6452129,7.982416984,232.873389,28.97693103,248.5357814,21.39921308,264.198944,-296.4293617,172.3084191,-367.2195803,130.1301348,-1016.073812,-359.8461503,-122.6353081,49.08498124,70.91974573,-1434.473354,122.4200101,27.31325173,1020.417713,-414.4460338,338.0478614,150.7606296,280.0670896,180.8985175
Psub6,suberosa,2,11,10,-8.277177432,185.0684159,-9.31919897,177.1495064,-5.960583014,164.0401522,12.49579055,161.1670724,20.25889556,177.7299117,16.94694393,184.8605548,-287.3757238,111.3986859,-381.776339,81.37361119,-1085.736278,-86.89887815,-101.3696508,1.584487441,-10.69034536,-1381.983256,116.2927624,-1.499899729,1089.194072,-28.01464969,345.0741802,117.0708956,290.2426522,136.9533897
